,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
144,good mixer groups people,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
145,good mixer groups people,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,often introduce others,right away,show feelings freely,go,help,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,normalacting never make center attention,imaginative people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value logic feelings
146,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone feet ground,heart rule head,consistently reasonable person,value emotion logic
147,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
148,rather quiet reserved,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value reason emotions feelings
149,rather quiet reserved,one last hear going,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,times make plans sometimes go,never make lists,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,following carefully worked plan,hate work pressure,factsbased courses,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
150,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
151,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,get introduced,really get know,show feelings freely,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,life full unexpected incidents encounter many unseen events scheduled routine deal,usually plan work wont need work pressure,courses involving opinion theory,totally depends upon work im usually try find ways thing,original individual care whether center attention,like types person positive caring like words hurting negative,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
152,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,right away,show feelings freely,plan,help,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
153,good mixer groups people,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,get introduced,really get know,show feelings freely,plan,dont usually,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,practical handson courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,always try consult mother guiding,consistently reasonable person,value logic feelings
154,good mixer groups people,mixture,broad friendships many different people,according situation,find lot say certain people certain conditions,depends kind group gathering,really get know,tend keep feeling situation cant get handle show feeling one listen able help solve problem,plan,particularly stress somewhat becomes burden,organize carefully start,free whatever looks like fun time comes,particular feeling,things alloted involve feelong unpleasent feeling nice instead think dutifull professional manner,things planned tend go fine good dealong unexpected situations,tend work without pressure time pressing thing done important stress type things doesnt really matter,,invent way,dont care awareness,,enjoy odd original ways saying things,,accept type friends toxic,head rule heart,consistently reasonable person,according situtaion
155,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
156,rather quiet reserved,one last hear going,broad friendships many different people,join talk group,find lot say certain people certain conditions,get introduced,right away,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,hate work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
157,rather quiet reserved,one last hear going,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,practical person,someone feet ground,heart rule head,consistently reasonable person,value logic feelings
158,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,consistently reasonable person,value logic feelings
159,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,go,stress,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
160,good mixer groups people,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,positively depress,organize carefully start,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value logic feelings
161,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,,head rule heart,person real feeling,
162,rather quiet reserved,one last hear going,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
163,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,positively depress,organize carefully start,none,appeal,little unpleasant tied,following carefully worked plan,hate work pressure,courses involving opinion theory,accepted way,normalacting never make center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value emotion logic
164,good mixer groups people,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,often introduce others,really get know,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,consistently reasonable person,value logic feelings
165,good mixer groups people,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,consistently reasonable person,value logic feelings
166,good mixer groups people,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,right away,show feelings freely,go,positively depress,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,following carefully worked plan,hate work pressure,factsbased courses,accepted way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
167,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,help,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
168,good mixer groups people,one last hear going,deep friendship people,join talk group,talk easily almost anyone long,often introduce others,really get know,show feelings freely,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
169,actually im depends mood type people around,one last hear going,broad friendships many different people,depends type people im,talk easily almost anyone long,never experienced anything like,really get know,keep feelings,go,help,organize carefully start,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,mixture relatively big part second option,someone feet ground,depends situation mostly first one happens,consistently reasonable person,depends situation
170,good mixer groups people,full news everybody,broad friendships many different people,join talk group,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value logic feelings
171,rather quiet reserved,full news everybody,deep friendship people,join talk group,,get introduced,really get know,keep feelings,plan,help,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,accepted way,normalacting never make center attention,,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
